Player,Match,Balls Faced,Wickets,Runs,Balls Bowled,Maiden Overs,Fours,Sixes
V Kohli (INDIA),75,70,20,2633,1907,2,247,71
RG Sharma (INDIA),104,96,14,2633,1905,6,234,120
MJ Guptill (NZ),83,80,7,2436,1810,2,215,113
Shoaib Malik (ICC/PAK),111,104,30,2263,1824,1,186,61
BB McCullum (NZ),71,70,10,2140,1571,3,199,91
DA Warner (AUS),76,76,8,2079,1476,5,203,86
EJG Morgan (ENG),86,84,17,2002,1475,3,151,96
Mohammad Shahzad (AFG),65,65,3,1936,1436,3,218,72
JP Duminy (SA),81,75,25,1934,1532,6,138,71
PR Stirling (IRE),72,71,6,1929,1401,8,233,59
Mohammad Hafeez (PAK),89,86,8,1908,1643,6,196,51
TM Dilshan (SL),80,79,12,1889,1567,10,223,33
AJ Finch (AUS),58,58,9,1878,1200,4,182,90
LRPL Taylor (NZ),95,87,19,1743,1430,5,110,65
Umar Akmal (PAK),84,79,14,1690,1377,10,122,55
AB de Villiers (SA),78,75,11,1672,1237,5,140,60
H Masakadza (ZIM),66,66,2,1662,1418,1,151,65
AD Hales (ENG),60,60,7,1644,1203,4,175,55
CH Gayle (WI),58,54,4,1627,1139,3,138,105
MS Dhoni (INDIA),98,85,42,1617,1282,1,116,52
Tamim Iqbal (BDESH/ICC/World),75,75,5,1613,1383,6,174,41
MN Samuels (WI),67,65,10,1611,1386,0,144,69
SK Raina (INDIA),78,66,11,1605,1190,3,145,58
GJ Maxwell (AUS),61,54,9,1576,985,1,133,81
Shakib Al Hasan (BDESH),76,76,10,1567,1266,5,163,33
C Munro (NZ),60,57,7,1546,966,5,114,100
KS Williamson (NZ),57,55,7,1505,1236,2,158,26
S Dhawan (INDIA),58,57,3,1504,1173,1,166,46
KJ O'Brien (IRE),90,83,10,1504,1124,10,117,69
DPMD Jayawardene (SL),55,55,8,1493,1121,4,173,33
Ahmed Shehzad (PAK),59,59,2,1471,1282,2,157,33
SR Watson (AUS),58,56,6,1462,1006,3,115,83
Mahmudullah (BDESH),83,76,16,1430,1166,2,113,48
Shahid Afridi (ICC/PAK),99,91,12,1416,944,8,103,73
Babar Azam (PAK),36,36,8,1405,1102,0,139,20
KJ Coetzer (SCOT),58,56,2,1386,1136,3,144,45
KC Sangakkara (SL),56,53,9,1382,1156,2,139,20
F du Plessis (SA/World),44,44,6,1363,1006,0,126,45
Mohammad Nabi (AFG),75,70,11,1316,902,4,83,78
DA Miller (SA/World),72,62,18,1309,935,0,91,57
